field,laureate_id,laureate_name,prize_year,title,pub_year,paper_id,additional_info,doi,uid,nonenglish,no_record
Medicine,30154,"hess, wr",1949,hypothalamus und die zentren des autonomen nervensystems physiologie--Hypothalamus and the centres of the autonomic nervous system Physiology,1936,2009015488,"The diencephalon of both human and animal brains has cells that govern many behaviors. During the 1930s Walter Hess inserted a narrow metal thread into different parts of anesthetized cats' hypothalamus, an area on the underside of the diencephalon. When the cats awoke, he could trigger different behaviors with weak electrical impulses to different parts of the hypothalamus - not just simple reactions but complex behaviors. Among other things, the cats could be made to display defensive and aggressive behaviors and to curl up and go to sleep.",10.1007/BF01814243,WOS:000202493000026,0,0
Medicine,30103,"lorenz, k",1973,Der Kumpan in der Umwelt des Vogels,1935,1999595872,,10.1007/BF01905355,,1,0
Medicine,30173,"spemann, h",1935,uber induktion von embryonalanlagen durch implantation artfremder organisatoren,1924,2048075051,,10.1007/BF02108176,,1,0
Chemistry,20088,"prelog, v",1975,the specification of asymmetric configuration in organic chemistry,1956,2053032227,,10.1007/BF02157171,WOS:A1956WS95600001,0,0
Chemistry,20088,"prelog, v",1975,description of steric relationships across single bonds,1960,2009828525,,10.1007/BF02158433,WOS:A1960WT07400001,0,0
Chemistry,20152,"wieland, h",1927,uber den mechanismus der oxydationsvorgange,1922,2314460680,,10.1007/BF02322468,,1,0
Physics,10090,"salam, a",1979,weak and electromagnetic interactions,1968,2078536640,,10.1007/BF02726525,WOS:A1959WM39800009,0,0
Physics,10115,"gellmann, m",1969,the axial vector current in beta decay,1960,2101447717,,10.1007/BF02859738,WOS:A1960WM44000008,0,0
Physics,10156,"pauli, w",1945,uber den zusammenhang des abschlusses der elektronengruppen im atom mit der komplexstruktur der spektren--On the connection of the arrangement of electron groups in atoms with the complex structure of spectra,1925,2091489183,,10.1007/BF02980631,WOS:000201795200075,0,0
Physics,10035,"leggett, aj",2003,the spin dynamics of an anisotropic fermi supefluid 3he,1974,2066009244,,10.1016/0003-4916(74)90277-2,WOS:A1974T308400002,0,0
Physics,10035,"leggett, aj",2003,quantum tunnelling in a dissipative system,1983,2009902266,,10.1016/0003-4916(83)90202-6,WOS:A1983RL61300007,0,0
Medicine,30091,"schally, av",1977,the identity of chemical and hormonal properties of the thyrotropin releasing hormone and pyroglutamyl histidyl proline amide,1969,2130799585,,10.1016/0006-291X(69)90868-7,WOS:A1969E586400025,0,0
Medicine,30091,"schally, av",1977,discovery of modification of the synthetic tripeptide sequence of the thyrotropin releasing hormone having activity,1969,2014610831,,10.1016/0006-291X(69)90889-4,WOS:A1969E285800020,0,0
Medicine,30077,samuelss.b,1982,prostaglandin endoperoxides vii novel transformations of arachidonic acid in guinea pig lung,1974,2035879817,,10.1016/0006-291X(74)90246-0,WOS:A1974V223700017,0,0
Medicine,30124,"lynen, f",1964,enzymes of fatty acid metabolism,1953,1965802835,,10.1016/0006-3002(53)90149-8,WOS:A1953YC43800011,0,0
Medicine,30057,"fischer, eh",1992,The phosphorylase b to a converting enzyme of rabbit skeletal muscle,1956,2071356747,,10.1016/0006-3002(56)90273-6 ,WOS:A1956WF16900020,0,0
Chemistry,20049,"skou, j",1997,the influence of some cations on an adenosine triphosphatase from peripheral nerves,1957,2058236257,,10.1016/0006-3002(57)90343-8,WOS:A1957WJ92400019,0,0
Medicine,30006,"okeefe, j",2014,the hippocampus as a spatial map preliminary evidence from unit activity in the freely moving rat,1971,2052515926,,10.1016/0006-8993(71)90358-1,WOS:A1971K844700012,0,0
Medicine,30012,"gurdon, jb",2012,adult frogs derived from the nuclei of single somatic cells,1962,2094753906,,10.1016/0012-1606(62)90043-X,WOS:A19621045B00003,0,0
Medicine,30036,"sulston, je",2002,post embryonic cell lineages of the nematode caenorhabditis elegans,1977,1986006829,,10.1016/0012-1606(77)90158-0,WOS:A1977CY53300009,0,0
Medicine,30039,"hartwell, lh",2001,genetic control of the cell division cycle in yeast iv genes controlling bud emergence and cytokinesis,1971,2057764157,,10.1016/0014-4827(71)90223-0,WOS:A1971L218500003,0,0
Medicine,30001,"ohsumi, y",2016,isolation and characterization of autophagy defective mutants of saccharomyces cerevisiae,1993,2011580247,,10.1016/0014-5793(93)80398-E,WOS:A1993MC88100036,0,0
Medicine,30090,"smith, ho",1978,a restriction enzyme from hemophilus influenzae i purification and general properties,1970,1506010125,,10.1016/0022-2836(70)90149-X,WOS:A1970H020500015,0,0
Medicine,30090,"smith, ho",1978,a restriction enzyme from hemophilus influenzae ii base sequence of the recognition site,1970,1534152204,,10.1016/0022-2836(70)90150-6,WOS:A1970H020500016,0,0
Chemistry,20010,"levitt, m",2013,theoretical studies of enzymic reactions dielectric electrostatic and steric stabilization of the carbonium ion in the reaction of lysozyme,1976,2004303971,,10.1016/0022-2836(76)90311-9,WOS:A1976BR81800002,0,0
Chemistry,20082,"berg, p",1980,labeling deoxyribonucleic acid to high specific activity in vitro by nick translation with dna polymerase i,1977,2029987769,,10.1016/0022-2836(77)90052-3,WOS:A1977DM10700015,0,0
Chemistry,20057,"smith, m",1993,the nucleotide sequence of bacteriophage x174,1978,1969094530,,10.1016/0022-2836(78)90346-7,WOS:A1978FW60600007,0,0
Chemistry,20066,"michel, h",1988,three dimensional crystals of a membrane protein complex the photosynthetic reaction centre from rhodopseudomonas viridis,1982,1488248212,,10.1016/0022-2836(82)90216-9,WOS:A1982NW47700015,0,0
Chemistry,20035,"wuthrich, k",2002,solution conformation of proteinase inhibitor iia from bull seminal plasma by 1h nuclear magnetic resonance and distance geometry,1985,1986379760,,10.1016/0022-2836(85)90347-X,WOS:A1985AFQ7500011,0,0
Physics,10063,"charpak, g",1992,the use of multiwire proportional counters to select and localize charged particles,1968,2039785230,,10.1016/0029-554X(68)90371-6,WOS:A1968B394200004,0,0
Physics,10085,"siegbahn, k",1981, ray spectroscopy in the precision range of 1 105,1956,1993527439,,10.1016/0029-5582(56)90015-3,WOS:A1956WP50000001,0,0
Physics,10092,"glashow, sl",1979,partial symmetries of weak interactions,1961,2232454336,,10.1016/0029-5582(61)90469-2,WOS:A19619071B00008,0,0
Chemistry,20086,"prigogine, i",1977,dynamical and statistical descriptions of n body systems,1969,2047085243,,10.1016/0031-8914(69)90270-5,WOS:A1969E929000012,0,0
Physics,10108,"josephson, bd",1973,possible new effects in superconductive tunnelling,1962,2566706182,,10.1016/0031-9163(62)91369-0,WOS:A1962WU06500005,0,0
Physics,10010,"higgs, pw",2013,broken symmetries massless particles and gauge fields,1964,2223433365,,10.1016/0031-9163(64)91136-9,WOS:A1964WM38800031,0,0
Chemistry,20025,"ertl, g",2007,adsorption of hydrogen on palladium single crystal surfaces,1974,2037712575,,10.1016/0039-6028(74)90060-0,WOS:A1974S114500010,0,0
Chemistry,20025,"ertl, g",2007,adsorption of co on pd single crystal surfaces,1974,1999433310,,10.1016/0039-6028(74)90270-2,WOS:A1974T480800009,0,0
Chemistry,20025,"ertl, g",2007,adsorption of hydrogen on a pt 111 surface,1976,2071890513,,10.1016/0039-6028(76)90232-6,WOS:A1976BG05100012,0,0
Chemistry,20025,"ertl, g",2007,chemisorption of co on the pt 111 surface,1977,2093254131,,10.1016/0039-6028(77)90052-8,WOS:A1977DL66800002,0,0
Medicine,30136,"ochoa, s",1959,116 isocitric dehydrogenase system tpn from pig heart,1955,2200933292,,10.1016/0076-6879(55)01121-X,WOS:A1955WN96500116,0,0
Medicine,30136,"ochoa, s",1959,124 malic enzyme,1955,2206310676,,10.1016/0076-6879(55)01129-4,WOS:A1955WN96500124,0,0
Medicine,30056,"roberts, rj",1993,an amazing sequence arrangement at the 5 ends of adenovirus 2 messenger rna,1977,1996948250,,10.1016/0092-8674(77)90180-5,WOS:A1977DV77200001,0,0
Medicine,30055,"sharp, pa",1993,Sizing and mapping of early adenovirus mRNAs by gel electrophoresis of S1 endonuclease-digested hybrids,1977,2054073262,,10.1016/0092-8674(77)90272-0,WOS:A1977EB00100016,0,0
Medicine,30009,"schekman, r",2013,identification of 23 complementation groups required for post translational events in the yeast secretory pathway,1980,2059775037,,10.1016/0092-8674(80)90128-2,WOS:A1980KE07200020,0,0
Medicine,30024,"capecchi, mr",2007,high efficiency transformation by direct microinjection of dna into cultured mammalian cells,1980,2061555550,,10.1016/0092-8674(80)90358-X,WOS:A1980KU63800019,0,0
Medicine,30017,"szostak, jw",2009,cloning yeast telomeres on linear plasmid vectors,1982,1977437036,,10.1016/0092-8674(82)90109-X,WOS:A1982NR76000028,0,0
Chemistry,20062,"cech, t",1989,self splicing rna autoexcision and autocyclization of the ribosomal rna intervening sequence of tetrahymena,1982,1968282235,,10.1016/0092-8674(82)90414-7,WOS:A1982PQ46100017,0,0
Chemistry,20063,"altman, s",1989,the rna moiety of ribonuclease p is the catalytic subunit of the enzyme,1983,2021333801,,10.1016/0092-8674(83)90117-4,WOS:A1983RX39200029,0,0
